latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.001755,10.948121,205.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,6.0,75,1.0,0.00,0.00,980.8,100,37.0,221
2024-01-01T01:00,6.2,74,1.9,0.00,0.00,981.0,99,31.3,224
2024-01-01T02:00,6.2,74,1.9,0.00,0.00,981.0,58,30.2,219
2024-01-01T03:00,5.9,78,0.9,0.00,0.00,980.6,71,38.3,211
2024-01-01T04:00,6.0,78,1.1,0.00,0.00,980.8,98,37.1,212
2024-01-01T05:00,6.3,77,1.4,0.00,0.00,980.9,100,36.1,216
2024-01-01T06:00,6.3,77,1.7,0.00,0.00,981.0,100,33.9,217
2024-01-01T07:00,6.3,77,1.9,0.00,0.00,981.0,64,30.3,222
2024-01-01T08:00,5.4,79,1.3,0.00,0.00,980.8,30,29.1,222
2024-01-01T09:00,5.6,76,0.9,0.00,0.00,981.3,95,32.8,226
2024-01-01T10:00,5.8,76,1.2,0.10,0.10,981.9,98,32.9,229
2024-01-01T11:00,6.3,75,1.6,0.00,0.00,982.2,98,33.2,236
2024-01-01T12:00,6.8,74,2.2,0.00,0.00,982.6,100,29.5,231
2024-01-01T13:00,6.9,71,2.0,0.00,0.00,982.6,100,33.0,231
2024-01-01T14:00,6.9,70,1.9,0.00,0.00,982.4,99,33.9,227
2024-01-01T15:00,7.1,72,2.3,0.00,0.00,982.1,99,32.5,231
2024-01-01T16:00,6.8,74,1.7,0.10,0.10,982.4,99,36.9,237
2024-01-01T17:00,6.5,74,1.5,0.00,0.00,982.8,95,35.9,242
2024-01-01T18:00,5.9,77,1.0,0.00,0.00,983.5,50,35.1,242
2024-01-01T19:00,5.5,78,0.8,0.00,0.00,984.1,47,34.1,245
2024-01-01T20:00,5.0,81,0.4,0.00,0.00,984.8,3,34.0,243
2024-01-01T21:00,4.6,82,0.0,0.00,0.00,984.9,7,33.5,242
2024-01-01T22:00,4.3,83,-0.0,0.00,0.00,985.2,13,31.8,239
2024-01-01T23:00,4.2,80,-0.1,0.00,0.00,985.1,71,30.7,234
2024-01-02T00:00,4.2,83,-0.0,0.00,0.00,984.8,100,30.3,228
2024-01-02T01:00,4.7,81,0.8,0.30,0.30,984.6,100,26.0,223
2024-01-02T02:00,4.7,87,1.3,0.40,0.40,984.1,100,23.5,221
2024-01-02T03:00,5.3,85,1.6,0.00,0.00,983.2,100,25.8,213
2024-01-02T04:00,5.1,88,1.5,0.20,0.20,982.6,100,26.1,204
2024-01-02T05:00,5.1,88,1.4,0.20,0.20,981.3,100,26.8,195
2024-01-02T06:00,5.1,88,1.1,0.20,0.20,979.9,100,29.9,189
2024-01-02T07:00,5.0,89,1.2,0.40,0.40,978.4,100,28.0,188
2024-01-02T08:00,4.8,89,0.5,1.10,1.10,977.2,100,32.4,183
2024-01-02T09:00,4.7,88,0.6,1.30,1.30,976.3,100,29.6,183
2024-01-02T10:00,4.8,88,0.8,1.00,1.00,975.6,100,29.9,189
2024-01-02T11:00,5.7,84,1.2,0.10,0.10,974.2,100,35.1,207
2024-01-02T12:00,7.4,82,1.6,0.00,0.00,973.2,100,50.5,221
2024-01-02T13:00,8.4,81,2.9,0.00,0.00,972.8,100,49.2,227
2024-01-02T14:00,9.2,80,3.9,0.10,0.10,972.6,100,47.6,231
2024-01-02T15:00,8.6,83,4.2,0.10,0.10,972.4,100,38.4,226
2024-01-02T16:00,8.4,83,4.0,0.20,0.20,971.8,100,38.7,224
2024-01-02T17:00,8.0,86,3.6,0.60,0.60,971.7,100,39.2,224
2024-01-02T18:00,7.9,86,4.2,0.80,0.80,971.2,100,33.0,220
2024-01-02T19:00,8.0,86,4.2,0.70,0.70,970.1,100,33.6,218
2024-01-02T20:00,8.7,83,4.3,0.10,0.10,969.2,100,39.3,221
2024-01-02T21:00,8.6,85,4.3,0.70,0.70,968.3,100,40.0,222
2024-01-02T22:00,8.4,84,3.5,1.20,1.20,967.3,100,45.6,224
2024-01-02T23:00,8.6,83,2.9,1.20,1.20,966.3,100,53.6,229
2024-01-03T00:00,9.3,81,3.4,0.50,0.50,966.7,100,55.0,236
2024-01-03T01:00,9.6,81,4.3,0.00,0.00,967.3,99,48.6,237
2024-01-03T02:00,9.6,79,4.4,0.00,0.00,967.6,81,48.7,236
2024-01-03T03:00,9.8,80,4.6,0.00,0.00,967.2,94,48.1,235
2024-01-03T04:00,9.4,79,4.1,0.00,0.00,968.0,90,48.6,239
2024-01-03T05:00,9.2,76,3.6,0.00,0.00,968.1,83,49.5,237
2024-01-03T06:00,8.9,78,3.6,0.00,0.00,968.3,57,46.0,239
2024-01-03T07:00,8.9,77,4.0,0.00,0.00,968.5,99,42.7,238
2024-01-03T08:00,9.1,77,3.8,0.20,0.20,969.2,27,47.0,242
2024-01-03T09:00,8.4,78,3.3,0.00,0.00,969.5,58,45.0,238
2024-01-03T10:00,8.6,78,3.6,0.00,0.00,969.8,75,44.5,233
2024-01-03T11:00,9.1,76,4.0,0.00,0.00,969.7,100,44.7,229
2024-01-03T12:00,9.2,76,4.0,0.00,0.00,969.7,65,43.3,226
2024-01-03T13:00,9.4,77,4.7,0.00,0.00,969.6,100,40.0,228
2024-01-03T14:00,9.6,77,4.1,0.10,0.10,969.2,18,47.6,237
2024-01-03T15:00,9.8,75,4.3,0.00,0.00,969.4,57,46.9,243
2024-01-03T16:00,9.5,75,4.4,0.00,0.00,969.3,38,42.8,243
2024-01-03T17:00,8.9,74,4.1,0.00,0.00,969.2,51,40.5,237
2024-01-03T18:00,8.3,78,3.9,0.00,0.00,969.2,100,38.2,234
2024-01-03T19:00,8.6,77,3.9,0.00,0.00,969.2,100,41.2,234
2024-01-03T20:00,7.7,87,3.6,4.20,4.20,969.0,100,37.2,237
2024-01-03T21:00,8.1,85,3.7,2.90,2.90,968.5,99,38.7,237
2024-01-03T22:00,7.6,85,3.5,0.10,0.10,968.6,100,37.2,232
2024-01-03T23:00,7.3,85,2.6,0.30,0.30,968.8,100,41.6,235
2024-01-04T00:00,7.0,86,2.5,0.00,0.00,969.0,95,38.2,237
2024-01-04T01:00,6.9,86,2.5,0.30,0.30,968.6,97,38.7,237
2024-01-04T02:00,7.2,85,2.5,0.00,0.00,968.9,99,41.4,241
2024-01-04T03:00,7.4,81,2.4,0.50,0.50,969.5,97,42.5,239
2024-01-04T04:00,7.1,86,2.0,1.70,1.70,969.6,100,44.9,247
2024-01-04T05:00,6.8,88,1.4,0.40,0.40,970.3,100,46.6,253
2024-01-04T06:00,6.4,86,1.1,0.00,0.00,971.0,100,43.1,255
2024-01-04T07:00,6.1,88,0.9,0.30,0.30,971.6,100,42.3,261
2024-01-04T08:00,6.4,89,1.6,0.10,0.10,972.5,100,39.3,262
2024-01-04T09:00,6.7,86,1.8,0.00,0.00,973.8,94,40.7,268
2024-01-04T10:00,6.4,86,1.8,0.00,0.00,974.7,100,38.9,269
2024-01-04T11:00,6.6,86,2.2,0.10,0.10,975.3,100,41.1,267
2024-01-04T12:00,6.6,90,2.2,0.40,0.40,976.0,100,37.1,272
2024-01-04T13:00,6.3,93,2.0,1.40,1.40,976.8,100,33.9,282
2024-01-04T14:00,6.8,89,2.3,0.80,0.80,977.2,92,34.3,285
2024-01-04T15:00,6.6,91,2.1,2.10,2.10,978.0,98,36.6,280
2024-01-04T16:00,6.3,91,1.7,1.10,1.10,978.6,100,37.1,271
2024-01-04T17:00,6.3,87,2.1,0.40,0.40,979.4,99,32.5,266
2024-01-04T18:00,6.0,87,1.6,0.20,0.20,980.1,100,34.0,260
2024-01-04T19:00,6.2,88,2.0,0.00,0.00,980.5,100,33.1,258
2024-01-04T20:00,6.2,89,2.4,0.10,0.10,981.1,100,29.4,262
2024-01-04T21:00,6.2,88,2.6,0.20,0.20,981.5,100,27.2,264
2024-01-04T22:00,6.2,85,2.3,0.00,0.00,981.9,100,28.1,251
2024-01-04T23:00,5.7,85,1.8,0.00,0.00,982.3,87,27.6,246
2024-01-05T00:00,4.9,87,1.3,0.00,0.00,982.1,100,26.3,237
2024-01-05T01:00,4.3,89,1.0,0.00,0.00,982.0,100,24.9,236
2024-01-05T02:00,3.9,90,0.9,0.00,0.00,981.6,100,21.4,221
2024-01-05T03:00,4.8,89,2.1,0.00,0.00,981.4,100,18.7,205
2024-01-05T04:00,5.4,89,2.9,0.10,0.10,980.6,100,16.6,185
2024-01-05T05:00,5.3,90,2.5,0.00,0.00,979.8,100,20.3,192
2024-01-05T06:00,5.4,89,2.3,0.00,0.00,979.1,100,23.7,193
2024-01-05T07:00,5.4,88,1.7,0.00,0.00,978.5,99,29.0,197
2024-01-05T08:00,5.3,86,1.2,0.00,0.00,978.4,88,33.7,198
2024-01-05T09:00,5.3,85,1.2,0.00,0.00,978.5,99,32.6,190
2024-01-05T10:00,5.2,84,1.4,0.00,0.00,978.3,100,28.9,186
2024-01-05T11:00,5.9,79,1.9,0.00,0.00,978.2,100,27.8,190
2024-01-05T12:00,6.6,77,2.6,0.00,0.00,978.5,98,27.5,202
2024-01-05T13:00,7.3,78,3.9,0.00,0.00,978.2,100,22.4,204
2024-01-05T14:00,7.9,75,4.6,0.00,0.00,977.7,61,20.2,196
2024-01-05T15:00,7.9,75,4.6,0.00,0.00,977.5,100,20.3,193
2024-01-05T16:00,7.7,76,4.2,0.00,0.00,977.5,100,21.6,191
2024-01-05T17:00,7.1,79,3.9,0.00,0.00,977.2,100,22.5,193
