date,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01 00:00,4.9,87,1.3,0.00,0.00,1000.2,100,28.5,208
2024-01-01 01:00,5.3,85,1.8,0.00,0.00,999.8,100,27.6,209
2024-01-01 02:00,5.0,85,1.3,0.00,0.00,999.9,99,28.2,208
2024-01-01 03:00,4.6,86,0.8,0.00,0.00,1000.0,68,29.5,207
2024-01-01 04:00,4.3,87,0.6,0.00,0.00,999.8,14,28.5,206
2024-01-01 05:00,3.8,88,0.0,0.00,0.00,999.7,29,29.0,210
2024-01-01 06:00,3.7,89,-0.2,0.00,0.00,999.5,59,29.0,212
2024-01-01 07:00,3.4,90,-0.4,0.00,0.00,1000.0,52,29.2,213
2024-01-01 08:00,3.8,90,0.0,0.00,0.00,1000.4,90,28.6,214
2024-01-01 09:00,4.8,88,1.0,0.00,0.00,1000.4,80,27.4,213
2024-01-01 10:00,6.3,83,2.3,0.00,0.00,1000.5,35,27.7,218
2024-01-01 11:00,7.2,78,2.8,0.00,0.00,1000.6,100,31.0,232
2024-01-01 12:00,6.2,83,2.1,0.60,0.60,1000.5,97,28.6,221
2024-01-01 13:00,7.3,81,4.0,0.60,0.60,999.8,47,24.1,231
2024-01-01 14:00,7.3,79,3.2,0.00,0.00,999.9,94,31.0,237
2024-01-01 15:00,6.8,79,2.7,0.00,0.00,1000.3,100,30.4,236
2024-01-01 16:00,6.3,82,2.6,0.20,0.20,1000.8,98,27.2,235
2024-01-01 17:00,5.7,85,2.1,0.00,0.00,1001.0,94,26.6,230
2024-01-01 18:00,5.1,86,1.3,0.10,0.10,1001.6,59,29.3,233
2024-01-01 19:00,4.8,87,0.8,0.00,0.00,1002.0,48,30.4,244
2024-01-01 20:00,4.7,88,0.7,0.10,0.10,1002.3,55,29.5,246
2024-01-01 21:00,4.3,88,0.1,0.20,0.20,1002.6,49,30.8,247
2024-01-01 22:00,3.6,90,-0.7,0.10,0.10,1003.0,81,30.2,247
2024-01-01 23:00,4.1,90,0.4,0.00,0.00,1003.1,100,25.3,246
2024-01-02 00:00,4.8,89,1.1,0.00,0.00,1003.0,100,25.0,245
2024-01-02 01:00,4.3,89,0.9,0.00,0.00,1002.6,93,24.7,233
2024-01-02 02:00,3.8,90,0.3,0.00,0.00,1002.4,93,25.2,228
2024-01-02 03:00,2.9,91,-0.6,0.00,0.00,1002.1,100,24.8,220
2024-01-02 04:00,2.5,93,-0.8,0.00,0.00,1001.3,100,22.6,202
2024-01-02 05:00,2.5,94,-1.0,0.00,0.00,1000.5,100,23.9,191
2024-01-02 06:00,2.5,94,-1.1,0.00,0.00,999.7,100,23.8,176
2024-01-02 07:00,2.7,94,-1.3,0.00,0.00,998.8,100,27.3,159
2024-01-02 08:00,3.2,93,-1.0,0.10,0.10,998.3,100,29.5,158
2024-01-02 09:00,4.0,92,-0.3,0.30,0.30,997.3,100,30.6,159
2024-01-02 10:00,4.7,92,0.3,0.70,0.70,996.3,100,31.6,154
2024-01-02 11:00,4.8,93,0.5,0.50,0.50,995.0,100,31.9,153
2024-01-02 12:00,4.8,93,0.3,0.20,0.20,993.5,100,32.8,153
2024-01-02 13:00,4.9,92,0.8,0.00,0.00,992.6,100,28.9,144
2024-01-02 14:00,4.8,94,0.9,1.90,1.50,991.9,100,27.9,141
2024-01-02 15:00,4.8,95,1.2,0.10,0.10,991.3,100,25.4,141
2024-01-02 16:00,4.9,95,1.6,0.10,0.10,990.8,100,23.3,145
2024-01-02 17:00,5.1,95,1.7,0.20,0.20,989.9,100,23.4,143
2024-01-02 18:00,5.4,96,2.3,0.20,0.20,989.2,100,22.8,164
2024-01-02 19:00,6.3,95,3.2,0.80,0.80,988.2,100,25.8,187
2024-01-02 20:00,6.9,94,4.1,1.10,1.10,987.3,100,24.6,186
2024-01-02 21:00,6.9,94,4.1,0.90,0.90,986.3,100,24.9,185
2024-01-02 22:00,7.2,93,4.0,1.40,1.40,985.3,100,28.5,182
2024-01-02 23:00,7.9,90,4.1,1.70,1.70,984.7,100,33.8,209
2024-01-03 00:00,8.1,90,4.1,1.90,1.90,983.9,100,36.4,205
2024-01-03 01:00,8.2,88,4.6,2.70,2.70,983.4,100,33.1,226
2024-01-03 02:00,8.5,89,4.8,0.00,0.00,983.5,14,34.9,232
2024-01-03 03:00,8.4,87,3.9,0.00,0.00,983.7,98,42.1,233
2024-01-03 04:00,8.9,85,4.0,0.00,0.00,983.8,12,45.1,231
2024-01-03 05:00,8.7,83,3.7,0.00,0.00,984.2,8,44.5,241
2024-01-03 06:00,8.6,81,3.6,0.00,0.00,984.9,72,44.2,238
2024-01-03 07:00,8.5,79,3.5,0.10,0.10,985.3,100,42.4,238
2024-01-03 08:00,8.7,78,4.0,0.10,0.10,985.7,100,40.1,233
2024-01-03 09:00,9.1,78,4.7,0.00,0.00,985.8,100,38.4,231
2024-01-03 10:00,9.6,77,5.1,0.00,0.00,986.0,100,38.5,232
2024-01-03 11:00,9.9,76,5.5,0.70,0.70,985.7,100,38.1,231
2024-01-03 12:00,9.9,78,5.9,0.00,0.00,985.4,100,36.9,226
2024-01-03 13:00,10.6,74,6.2,0.10,0.10,984.9,100,36.7,224
2024-01-03 14:00,10.1,75,5.0,0.20,0.20,985.2,100,43.1,239
2024-01-03 15:00,9.2,79,4.8,0.10,0.10,985.6,100,37.2,242
2024-01-03 16:00,8.8,80,4.1,0.10,0.10,985.9,100,40.4,242
2024-01-03 17:00,8.4,83,4.0,2.90,2.90,985.8,100,36.7,237
2024-01-03 18:00,8.4,82,4.3,0.00,0.00,985.8,100,34.6,234
2024-01-03 19:00,8.4,82,4.3,0.10,0.10,985.8,100,33.5,231
2024-01-03 20:00,8.4,81,4.1,0.00,0.00,985.7,58,34.9,232
2024-01-03 21:00,7.4,84,3.3,0.00,0.00,985.7,100,33.3,231
2024-01-03 22:00,7.2,87,3.5,0.10,0.10,985.7,87,30.2,219
2024-01-03 23:00,6.9,91,3.2,0.20,0.20,985.6,85,31.9,236
2024-01-04 00:00,7.0,90,3.1,0.10,0.10,985.4,83,32.9,235
2024-01-04 01:00,7.2,89,3.4,0.10,0.10,985.4,25,33.3,244
2024-01-04 02:00,7.0,89,3.1,0.20,0.20,985.6,92,32.6,241
2024-01-04 03:00,7.1,89,3.0,0.20,0.20,985.8,100,33.5,243
2024-01-04 04:00,7.2,89,3.2,0.10,0.10,985.9,100,32.4,243
2024-01-04 05:00,7.1,91,3.1,0.40,0.40,986.1,100,33.0,248
2024-01-04 06:00,6.9,89,2.2,0.30,0.30,986.8,90,38.5,262
2024-01-04 07:00,6.3,92,1.6,0.30,0.30,987.8,100,37.6,274
2024-01-04 08:00,5.4,89,0.5,0.20,0.20,988.6,100,36.4,270
2024-01-04 09:00,4.7,90,-0.6,0.10,0.10,989.0,100,41.3,264
2024-01-04 10:00,4.1,85,-2.3,0.00,0.00,989.7,100,46.1,268
2024-01-04 11:00,3.6,82,-3.2,0.00,0.00,990.2,100,48.2,270
2024-01-04 12:00,3.2,82,-3.6,0.00,0.00,991.1,100,45.6,276
2024-01-04 13:00,2.5,89,-4.1,0.20,0.20,993.3,100,44.0,283
2024-01-04 14:00,2.5,91,-3.4,0.20,0.20,994.8,100,37.4,306
2024-01-04 15:00,2.1,89,-3.2,0.10,0.10,996.9,100,32.3,321
2024-01-04 16:00,1.5,90,-3.2,0.10,0.10,998.6,100,28.0,316
2024-01-04 17:00,1.0,90,-3.4,0.00,0.00,999.9,100,25.0,319
2024-01-04 18:00,0.4,91,-3.5,0.00,0.00,1000.8,96,20.5,326
2024-01-04 19:00,-0.3,92,-3.6,0.00,0.00,1001.7,75,14.7,324
2024-01-04 20:00,-2.2,94,-6.0,0.00,0.00,1002.3,90,11.4,332
2024-01-04 21:00,-1.0,93,-4.3,0.00,0.00,1002.8,98,8.0,352
2024-01-04 22:00,-0.2,92,-2.9,0.00,0.00,1003.5,100,2.6,344
2024-01-04 23:00,-0.7,95,-3.4,0.00,0.00,1003.5,100,2.9,97
2024-01-05 00:00,-0.4,95,-3.3,0.00,0.00,1003.7,89,7.9,106
2024-01-05 01:00,0.2,89,-3.0,0.00,0.00,1003.5,100,8.4,97
2024-01-05 02:00,0.2,89,-3.1,0.10,0.00,1003.5,100,10.0,103
2024-01-05 03:00,0.3,87,-3.5,0.10,0.00,1003.1,100,13.7,104
2024-01-05 04:00,0.3,88,-3.8,0.00,0.00,1002.5,100,18.4,102
2024-01-05 05:00,0.3,88,-4.1,0.00,0.00,1001.9,100,22.5,110
2024-01-05 06:00,0.4,90,-4.2,0.20,0.00,1001.7,100,24.9,108
2024-01-05 07:00,0.4,91,-4.2,0.50,0.00,1001.9,100,25.7,108
2024-01-05 08:00,0.4,90,-4.4,0.70,0.00,1001.9,100,26.9,106
2024-01-05 09:00,0.5,88,-4.5,0.90,0.00,1001.7,100,29.5,103
2024-01-05 10:00,0.6,89,-4.8,0.40,0.00,1001.4,100,34.0,100
2024-01-05 11:00,0.3,89,-5.0,0.40,0.10,1001.1,100,30.7,95
2024-01-05 12:00,0.2,91,-5.2,0.70,0.10,1000.5,100,33.5,91
2024-01-05 13:00,0.4,92,-4.5,0.30,0.30,999.9,100,28.1,90
2024-01-05 14:00,0.4,93,-4.3,0.40,0.30,999.8,100,26.6,89
2024-01-05 15:00,0.3,96,-4.5,0.30,0.20,999.5,100,33.5,99
2024-01-05 16:00,0.3,96,-4.4,0.30,0.30,999.4,100,33.7,97
2024-01-05 17:00,0.5,95,-4.2,0.00,0.00,999.8,100,31.8,100
2024-01-05 18:00,0.8,94,-3.9,0.00,0.00,999.9,100,28.9,101
2024-01-05 19:00,0.8,95,-3.7,0.00,0.00,1000.0,100,28.1,99
2024-01-05 20:00,0.9,95,-3.4,0.00,0.00,1000.1,64,26.6,103
2024-01-05 21:00,0.5,95,-3.8,0.00,0.00,1000.1,87,27.1,101
2024-01-05 22:00,0.8,95,-3.4,0.10,0.10,1000.3,100,24.9,95
2024-01-05 23:00,0.9,94,-3.4,0.00,0.00,1000.5,100,25.3,95
2024-01-06 00:00,0.9,94,-3.4,0.00,0.00,1000.8,100,25.9,99
2024-01-06 01:00,0.0,95,-4.1,0.00,0.00,1001.0,96,23.9,96
2024-01-06 02:00,-0.4,95,-4.7,0.00,0.00,1001.5,90,25.9,90
2024-01-06 03:00,-0.6,94,-5.0,0.00,0.00,1001.9,100,27.0,89
2024-01-06 04:00,-0.3,93,-4.8,0.00,0.00,1002.2,100,27.0,89
2024-01-06 05:00,-0.1,91,-4.5,0.00,0.00,1002.5,100,27.0,88
2024-01-06 06:00,0.2,90,-4.3,0.00,0.00,1003.1,100,26.1,83
2024-01-06 07:00,0.2,89,-4.5,0.00,0.00,1004.1,100,26.0,80
2024-01-06 08:00,0.2,88,-4.6,0.00,0.00,1004.7,100,25.1,74
2024-01-06 09:00,0.2,89,-4.7,0.00,0.00,1005.5,100,25.3,67
