date,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01 00:00,6.2,74,2.9,0.00,0.00,993.1,100,22.7,226
2024-01-01 01:00,5.7,76,2.4,0.00,0.00,993.3,100,22.7,224
2024-01-01 02:00,5.6,77,2.3,0.00,0.00,993.1,98,22.7,221
2024-01-01 03:00,5.9,76,2.0,0.00,0.00,992.9,1,28.3,226
2024-01-01 04:00,5.8,77,1.3,0.00,0.00,993.1,19,33.1,224
2024-01-01 05:00,5.6,78,1.2,0.00,0.00,993.0,51,32.7,221
2024-01-01 06:00,6.0,77,1.6,0.00,0.00,992.9,100,32.3,224
2024-01-01 07:00,6.7,75,2.1,0.00,0.00,992.6,98,33.9,225
2024-01-01 08:00,6.6,76,1.9,0.00,0.00,992.6,91,35.7,229
2024-01-01 09:00,5.8,78,1.4,0.00,0.00,993.2,40,32.9,233
2024-01-01 10:00,5.8,77,1.2,0.00,0.00,993.6,99,35.0,230
2024-01-01 11:00,6.1,79,1.2,0.50,0.50,993.9,100,37.2,232
2024-01-01 12:00,6.7,79,1.9,0.10,0.10,994.1,99,36.4,232
2024-01-01 13:00,7.4,75,2.8,0.00,0.00,994.1,100,33.6,235
2024-01-01 14:00,7.7,72,3.3,0.00,0.00,994.2,100,30.6,228
2024-01-01 15:00,8.4,63,3.3,0.00,0.00,993.5,97,37.3,230
2024-01-01 16:00,7.7,68,2.8,0.00,0.00,993.7,97,35.6,234
2024-01-01 17:00,7.2,72,2.3,0.10,0.10,994.2,100,35.8,240
2024-01-01 18:00,6.8,75,2.2,0.10,0.10,994.7,100,34.2,240
2024-01-01 19:00,6.1,81,1.7,0.80,0.80,995.4,97,33.4,248
2024-01-01 20:00,5.8,83,1.6,0.10,0.10,996.0,56,32.4,246
2024-01-01 21:00,5.4,83,1.0,0.00,0.00,996.4,64,33.8,245
2024-01-01 22:00,4.9,84,0.6,0.00,0.00,996.8,11,32.7,245
2024-01-01 23:00,4.3,86,-0.0,0.00,0.00,996.9,1,32.4,243
2024-01-02 00:00,3.9,88,-0.1,0.00,0.00,996.9,2,29.2,240
2024-01-02 01:00,3.5,89,-0.3,0.00,0.00,996.9,99,27.1,234
2024-01-02 02:00,3.0,91,-0.5,0.00,0.00,996.5,100,24.8,229
2024-01-02 03:00,3.2,89,0.1,0.00,0.00,995.8,100,21.8,214
2024-01-02 04:00,3.8,88,0.8,0.00,0.00,995.4,100,19.0,205
2024-01-02 05:00,4.3,87,1.2,0.00,0.00,994.4,100,19.3,189
2024-01-02 06:00,4.7,88,1.4,0.10,0.10,993.2,100,22.4,186
2024-01-02 07:00,5.2,88,1.6,0.30,0.30,991.7,100,25.3,175
2024-01-02 08:00,5.0,91,1.3,0.40,0.40,990.6,100,27.9,174
2024-01-02 09:00,5.2,90,1.1,1.20,1.20,989.9,100,31.0,181
2024-01-02 10:00,5.0,91,0.3,1.70,1.70,989.0,100,36.0,182
2024-01-02 11:00,4.8,91,-0.0,1.40,1.40,987.6,100,37.8,182
2024-01-02 12:00,4.9,91,0.9,2.80,1.50,986.4,100,30.6,177
2024-01-02 13:00,6.3,86,2.4,0.10,0.10,985.0,100,30.9,199
2024-01-02 14:00,8.2,85,3.5,0.10,0.10,983.6,100,42.8,224
